url,title,price,security,ceiling_height,Год постройки,district,residential_complex,furnished,parking,bathroom_type,apartment_condition,building_type,rooms,current_floor,total_floors,area_m2,address,district_lat,district_lon,apartment_lat,apartment_lon,coord_level
https://krisha.kz/a/show/1009106228,"3-комнатная квартира · 103 м² · 4/9 этаж, Анет баба 4",76000000,"домофон, видеонаблюдение",3.0,2026,"Нуринский район, Астана, Казахстан",Tumar Club,без мебели,паркинг,раздельный,Не указано,монолитный,3.0,4.0,9.0,103.0,Анет баба 4,51.1,71.38,51.1328909,71.3841409,Complex
https://krisha.kz/a/show/1010608909,"5-комнатная квартира · 173 м² · 2 этаж, Кошкарбаева 1/6 блок — Момышулы",165000000,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон",3.3,2026,"Алматинский район, Астана, Казахстан",La Vie,без мебели,Во дворе/не указано,2 с/у и более,черновая отделка,монолитный,5.0,6.0,11.0,173.0,Кошкарбаева 1/6 блок — Момышулы,51.15,71.5,51.1301292,71.4608108,Complex
https://krisha.kz/a/show/1009394632,"1-комнатная квартира · 34.4 м² · 1/12 этаж, Хусейн Бен Талал 41/1",25500000,"домофон, кодовый замок, видеонаблюдение, видеодомофон",2.65,2023,"Есильский район, Астана, Казахстан",MoD. Standard,без мебели,паркинг,совмещенный,черновая отделка,монолитный,1.0,1.0,12.0,34.4,Хусейн Бен Талал 41/1,51.12,71.43,51.0788735,71.4322377,Complex
https://krisha.kz/a/show/760084248,"2-комнатная квартира · 41.48 м², С 902 8",26962000,"домофон, видеонаблюдение",2.65,2025,"Сарыаркинский район, Астана, Казахстан",Parkland,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,6.0,11.0,41.48,С 902 8,51.17,71.41,51.1016776,71.4273209,Address
https://krisha.kz/a/show/1009625551,"1-комнатная квартира · 41.7 м² · 9/12 этаж, Казыбек би 41/1",26000000,"домофон, видеонаблюдение",3.0,2025,"Нуринский район, Астана, Казахстан",Salman City,без мебели,паркинг,совмещенный,черновая отделка,монолитный,1.0,9.0,12.0,41.7,Казыбек би 41/1,51.1,71.38,51.0971403,71.3824795,Complex
https://krisha.kz/a/show/1007795020,"3-комнатная квартира · 70 м² · 2/5 этаж, Рыскулбекова 27/3 — Школа-лицей №37, Школа-лицей №64",32999950,"домофон, видеонаблюдение",2.7,2009,"Алматинский район, Астана, Казахстан",Ырыс,без мебели,Во дворе/не указано,совмещенный,Не указано,кирпичный,3.0,2.0,5.0,70.0,"Рыскулбекова 27/3 — Школа-лицей №37, Школа-лицей №64",51.15,71.5,51.1860248,71.3860968,Complex
https://krisha.kz/a/show/1010082964,"2-комнатная квартира · 53.15 м², Хусейн бен Талал 1, 11/1-2",35567200,"домофон, видеонаблюдение",3.0,2027,"Нуринский район, Астана, Казахстан",Arna Urpaq,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,6.0,11.0,53.15,"Хусейн бен Талал 1, 11/1-2",51.1,71.38,51.1,71.38,District
https://krisha.kz/a/show/1010039445,"3-комнатная квартира · 80 м² · 8/9 этаж, Бухар жырау 25 — Есть видео-обзор",45000000,"домофон, видеонаблюдение",3.0,2020,"Есильский район, Астана, Казахстан",ЛЕЯ за рекой,без мебели,паркинг,совмещенный,Не указано,кирпичный,3.0,8.0,9.0,80.0,Бухар жырау 25 — Есть видео-обзор,51.12,71.43,51.12,71.43,District
https://krisha.kz/a/show/1010487975,"3-комнатная квартира · 91 м² · 12/17 этаж, Бухар жырау 12/3 — Сфера парк",63500000,"домофон, кодовый замок, видеонаблюдение, видеодомофон",3.0,2026,"Есильский район, Астана, Казахстан",Sandi Qala,без мебели,паркинг,2 с/у и более,Не указано,монолитный,3.0,12.0,17.0,91.0,Бухар жырау 12/3 — Сфера парк,51.12,71.43,51.1017771,71.4402817,Complex
https://krisha.kz/a/show/1010070478,"2-комнатная квартира · 67 м² · 4/7 этаж, Ахмета Байтурсынова 46/1",41500000,"решетки на окнах, домофон",2.8,2018,"Алматинский район, Астана, Казахстан",Отан,полностью,паркинг,2 с/у и более,свежий ремонт,кирпичный,2.0,4.0,7.0,67.0,Ахмета Байтурсынова 46/1,51.15,71.5,51.1542121,71.4615673,Complex
